duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
2,5,4,NaN,none,37,NaN,NaN,5,no,11,below_average,yes,full,yes,full,good
3,2,2.5,NaN,NaN,35,none,NaN,NaN,NaN,10,average,NaN,NaN,yes,full,bad
3,4.5,4.5,5,none,40,NaN,NaN,NaN,no,11,average,NaN,half,NaN,NaN,good
3,3,2,2.5,tc,40,none,NaN,5,no,10,below_average,yes,half,yes,full,bad
2,2.5,2.5,NaN,NaN,38,empl_contr,NaN,NaN,NaN,10,average,NaN,NaN,NaN,NaN,bad
2,4,5,NaN,none,40,none,NaN,3,no,10,below_average,no,none,NaN,none,bad
3,2,2.5,2.1,tc,40,none,2,1,no,10,below_average,no,half,yes,full,bad
2,2,2,NaN,none,40,none,NaN,NaN,no,11,average,yes,none,yes,full,bad
1,2,NaN,NaN,tc,40,ret_allw,4,0,no,11,generous,no,none,no,none,bad
1,2.8,NaN,NaN,none,38,empl_contr,2,3,no,9,below_average,yes,half,NaN,none,bad
3,2,2.5,2,NaN,37,empl_contr,NaN,NaN,NaN,10,average,NaN,NaN,yes,none,bad
2,4.5,4,NaN,none,40,NaN,NaN,4,NaN,12,average,yes,full,yes,half,good
1,4,NaN,NaN,none,NaN,none,NaN,NaN,yes,11,average,no,none,no,none,bad
2,2,3,NaN,none,38,empl_contr,NaN,NaN,yes,12,generous,yes,none,yes,full,bad
2,2.5,2.5,NaN,tc,39,empl_contr,NaN,NaN,NaN,12,average,NaN,NaN,yes,NaN,bad
2,2.5,3,NaN,tcf,40,none,NaN,NaN,NaN,11,below_average,NaN,NaN,yes,NaN,bad
2,4,4,NaN,none,40,none,NaN,3,NaN,10,below_average,no,none,NaN,none,bad
2,4.5,4,NaN,NaN,40,NaN,NaN,2,no,10,below_average,no,half,NaN,half,bad
2,4.5,4,NaN,none,40,NaN,NaN,5,NaN,11,average,NaN,full,yes,full,good
2,4.6,4.6,NaN,tcf,38,NaN,NaN,NaN,NaN,NaN,NaN,yes,half,NaN,half,good
2,5,4.5,NaN,none,38,NaN,14,5,NaN,11,below_average,yes,NaN,NaN,full,good
2,5.7,4.5,NaN,none,40,ret_allw,NaN,NaN,NaN,11,average,yes,full,yes,full,good
2,7,5.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,NaN,yes,full,NaN,NaN,good
3,2,3,NaN,tcf,NaN,empl_contr,NaN,NaN,yes,NaN,NaN,yes,half,yes,NaN,good
3,3.5,4,4.5,tcf,35,NaN,NaN,NaN,NaN,13,generous,NaN,NaN,yes,full,good
3,4,3.5,NaN,none,40,empl_contr,NaN,6,NaN,11,average,yes,full,NaN,full,good
3,5,4.4,NaN,none,38,empl_contr,10,6,NaN,11,generous,yes,NaN,NaN,full,good
3,5,5,5,NaN,40,NaN,NaN,NaN,NaN,12,average,NaN,half,yes,half,good
3,6,6,4,NaN,35,NaN,NaN,14,NaN,9,generous,yes,full,yes,full,good
